Kadar Al2O3;Reactive SiO2 (Kaolinite, Clay,Ect);Fe2O3 (Hematite — INERT in NaOH);TiO2 (Rutile/Anatase — INERT);CaO (Calcium Oxide — INERT);MgO (Magnesium Oxide — INERT);Na2O (Sodium Oxide — INERT);K2O (Potassium Oxide — INERT);Cr2O3 (Chromium Oxide — INERT);Others;Total;Feed flow rate (ton/hour);Net Make-up NaOH Required (Recycled Spent Liquor)   ;CaO Addition in process ;Water added into system from redmud washing into conditioning   ;Alumunium in bauxite bauxite feed ;Alumunium in Recycled Spent Liquor  ;Alumina Hydrate Seed
52.28%;7.15%;12.79%;2.00%;0.43%;0.83%;0.05%;0.27%;0.02%;24.18%;100.00%;150;6.486307516;7.17933871;93.9826057;33.20096021;9.878316135;864.821905
56.65%;3.70%;15.97%;1.12%;1.17%;0.62%;0.16%;0.18%;0.06%;20.35%;100.00%;150;5.774621016;2.57259422;73.34695191;35.9796291;9.483129925;813.4206384
60.17%;1.51%;24.26%;2.72%;0.73%;0.78%;0.05%;0.54%;0.15%;9.10%;100.00%;150;3.573876278;0.744421522;80.08506707;38.2096072;12.01049068;827.3819932
51.43%;2.17%;22.74%;0.42%;0.66%;0.29%;0.29%;0.51%;0.10%;21.40%;100.00%;150;5.192975154;1.546474284;78.48366877;32.66198635;11.3390682;825.7408496
55.45%;5.73%;22.75%;1.62%;0.96%;0.28%;0.23%;0.37%;0.12%;12.48%;100.00%;150;5.935878445;5.010559907;102.4478193;35.21724143;9.212443877;800.2670912
54.16%;7.66%;21.75%;2.07%;0.44%;0.55%;0.29%;0.13%;0.10%;12.85%;100.00%;150;5.874333363;7.719267113;115.6495502;34.39740005;10.27367898;907.6983474
53.55%;6.06%;18.45%;2.40%;1.00%;0.28%;0.06%;0.55%;0.03%;17.62%;100.00%;150;6.694268137;5.3156263;98.60156056;34.01081969;8.106800374;733.9831564
55.52%;5.13%;24.43%;2.10%;1.49%;0.30%;0.12%;0.45%;0.03%;10.43%;100.00%;150;6.445130063;3.740083928;103.1896454;35.26160168;7.769400011;787.6426065
59.94%;2.59%;16.44%;0.96%;1.36%;0.79%;0.24%;0.58%;0.11%;16.99%;100.00%;150;4.280367434;1.156894664;67.52035462;38.06502282;13.9803802;829.0618637
58.01%;2.08%;24.03%;2.54%;0.31%;0.27%;0.28%;0.44%;0.03%;12.01%;100.00%;150;5.722341006;1.868176261;83.51670612;36.8407949;9.273032199;772.1322887
51.54%;2.67%;17.38%;1.53%;1.18%;0.60%;0.15%;0.15%;0.02%;24.77%;100.00%;150;5.600335675;1.453636733;67.01306404;32.73387351;10.18448828;703.9658491
52.10%;3.23%;17.36%;0.44%;1.49%;0.90%;0.15%;0.35%;0.12%;23.85%;100.00%;150;5.768248174;1.686573878;69.77734558;33.08915678;9.518638732;670.2632951
59.68%;2.91%;21.30%;0.47%;0.36%;0.71%;0.07%;0.11%;0.10%;14.29%;100.00%;150;3.34064028;2.692961022;77.48885105;37.90223481;10.06380562;894.9874125
51.92%;6.38%;16.80%;2.22%;0.58%;0.44%;0.27%;0.60%;0.03%;20.76%;100.00%;150;6.361602255;6.175414725;95.17879962;32.97313649;10.35740891;888.9295875
60.44%;5.32%;21.76%;1.01%;0.66%;0.39%;0.19%;0.37%;0.11%;9.73%;100.00%;150;6.108740172;4.925923548;96.59124451;38.38580662;9.56720708;690.6370952
50.38%;6.38%;13.48%;3.00%;1.01%;0.53%;0.23%;0.25%;0.13%;24.61%;100.00%;150;6.379097556;5.654387179;89.36921809;31.99241112;9.870211785;636.9498374
50.60%;2.61%;16.21%;1.18%;0.96%;0.26%;0.15%;0.08%;0.01%;27.94%;100.00%;150;5.720438399;1.661011765;61.99202571;32.13711662;9.344112889;761.5514939
61.84%;7.18%;21.84%;2.39%;1.36%;0.56%;0.22%;0.58%;0.06%;3.96%;100.00%;150;5.558285563;6.094284609;113.8531592;39.26971846;8.62424935;901.8798295
57.03%;4.09%;19.54%;1.64%;1.49%;0.69%;0.14%;0.15%;0.06%;15.15%;100.00%;150;6.031621283;2.603190056;83.96552956;36.21916463;11.55080471;709.7571686
56.27%;3.08%;23.32%;1.70%;0.41%;0.28%;0.25%;0.52%;0.13%;14.04%;100.00%;150;5.542823755;2.825933156;87.42341274;35.73528243;8.029945644;748.4429984
51.59%;4.65%;16.02%;0.54%;0.99%;0.54%;0.05%;0.46%;0.07%;25.07%;100.00%;150;6.508538257;3.809159046;77.82119939;32.76472014;9.866624315;816.0032308
50.92%;7.04%;17.31%;1.81%;1.24%;0.55%;0.06%;0.52%;0.07%;20.47%;100.00%;150;6.514313193;6.089970924;100.4347185;32.33519146;7.201997682;663.0274671
51.56%;7.46%;18.35%;2.69%;0.29%;0.60%;0.15%;0.45%;0.05%;18.41%;100.00%;150;6.689363724;7.678756172;111.0600964;32.74157665;7.810539002;672.4816594
51.43%;2.65%;23.48%;1.78%;0.69%;0.88%;0.28%;0.46%;0.03%;18.33%;100.00%;150;5.449407832;2.016971432;83.76070742;32.66133906;9.631186366;642.3318127
55.50%;2.71%;13.05%;2.05%;1.30%;0.57%;0.07%;0.40%;0.03%;24.31%;100.00%;150;5.57832158;1.353149765;60.85604779;35.24837196;7.701064461;633.1872695
52.54%;1.71%;22.16%;0.83%;0.36%;0.51%;0.12%;0.47%;0.11%;21.19%;100.00%;150;6.004651219;1.406027126;74.75149252;33.36819977;11.01278574;705.9589979
52.73%;6.54%;13.03%;0.56%;1.33%;0.25%;0.18%;0.15%;0.01%;25.21%;100.00%;150;6.392003063;5.444464246;82.04101758;33.48822872;8.869834029;882.645015
56.22%;5.97%;15.15%;1.09%;0.39%;0.34%;0.14%;0.24%;0.05%;20.41%;100.00%;150;5.965407174;5.947807607;84.36985113;35.70336076;11.74893149;892.1855808
50.16%;4.02%;22.53%;2.93%;1.34%;0.87%;0.21%;0.10%;0.08%;17.76%;100.00%;150;5.822724876;2.709880039;93.13934323;31.85618854;6.97013538;730.3848565
51.31%;2.90%;24.67%;2.74%;1.10%;0.31%;0.11%;0.11%;0.06%;16.68%;100.00%;150;5.576926973;1.797889576;89.07561136;32.58775987;10.98929921;893.6957554
60.74%;4.33%;18.13%;1.15%;0.95%;0.52%;0.13%;0.17%;0.02%;13.87%;100.00%;150;4.276539703;3.519483384;86.33734701;38.57633351;9.419665312;765.4000038
52.72%;2.24%;17.60%;2.55%;1.18%;0.32%;0.14%;0.08%;0.08%;23.09%;100.00%;150;5.58623305;0.995648331;67.5907577;33.48275514;10.87522638;749.8795781
53.36%;6.53%;24.17%;0.91%;1.05%;0.55%;0.06%;0.56%;0.08%;12.72%;100.00%;150;6.435543418;5.76388073;111.0372109;33.88861796;7.782868383;741.0526762
60.05%;2.50%;14.97%;1.44%;1.15%;0.64%;0.16%;0.12%;0.05%;18.92%;100.00%;150;5.880905936;1.308783382;59.71765099;38.13383629;8.906606228;786.9357429
60.24%;5.95%;22.37%;1.97%;0.66%;0.66%;0.23%;0.44%;0.06%;7.42%;100.00%;150;6.090962069;5.607374673;107.5567009;38.25963408;12.14288723;797.1463705
61.74%;4.74%;22.68%;1.69%;0.99%;0.46%;0.04%;0.51%;0.08%;7.07%;100.00%;150;3.057481413;3.918695481;96.09378407;39.21015254;10.08937545;777.405767
49.87%;2.21%;20.65%;1.19%;1.47%;0.26%;0.08%;0.58%;0.05%;23.65%;100.00%;150;6.022148018;0.61496237;73.27758169;31.66886025;8.49646967;774.7035065
56.78%;1.86%;17.50%;2.05%;0.42%;0.65%;0.07%;0.26%;0.02%;20.39%;100.00%;150;6.054939076;1.49852671;62.88849179;36.05778476;11.58011942;732.7202726
55.36%;2.40%;21.23%;1.78%;0.27%;0.63%;0.11%;0.17%;0.10%;17.95%;100.00%;150;5.737203296;2.257866558;75.03009897;35.15594562;7.991700889;899.553009
51.80%;2.08%;14.30%;1.86%;0.91%;0.67%;0.07%;0.46%;0.09%;27.77%;100.00%;150;6.078911441;1.141472283;56.95080731;32.89378467;12.45510966;652.5289968
54.41%;6.31%;18.06%;1.25%;0.40%;0.54%;0.29%;0.27%;0.10%;18.38%;100.00%;150;6.0452359;6.307019486;95.68554588;34.55245463;7.932556968;796.5702023
61.76%;2.01%;19.53%;0.28%;0.39%;0.30%;0.04%;0.20%;0.04%;15.46%;100.00%;150;5.364793533;1.700596014;64.57779541;39.22292424;10.30395841;818.7853868
62.67%;6.34%;23.34%;1.98%;1.03%;0.78%;0.02%;0.34%;0.03%;3.47%;100.00%;150;6.719770001;5.590949015;111.3441569;39.80164025;12.31361893;1000.244831
58.12%;6.90%;13.96%;1.78%;0.80%;0.87%;0.23%;0.26%;0.06%;17.02%;100.00%;150;6.258826302;6.46949719;91.45435618;36.91314765;8.885158173;959.7596895
62.68%;2.05%;19.47%;0.54%;0.49%;0.80%;0.14%;0.30%;0.07%;13.44%;100.00%;150;-0.023771104;1.618066874;66.43336889;39.80871881;14.35421357;939.2907257
60.47%;6.94%;16.66%;0.27%;1.00%;0.68%;0.24%;0.34%;0.15%;13.26%;100.00%;150;6.067931704;6.269770965;99.55348745;38.40395348;7.892952583;719.9554954
62.25%;3.28%;18.07%;2.44%;1.21%;0.86%;0.15%;0.11%;0.13%;11.49%;100.00%;150;5.025437827;2.082199679;80.79793225;39.53310155;12.93427784;908.3434813
49.69%;7.22%;22.24%;2.46%;1.16%;0.57%;0.10%;0.30%;0.05%;16.22%;100.00%;150;6.313005754;6.374610007;115.1978064;31.55431245;6.73358832;626.0564614
58.37%;2.44%;18.41%;1.79%;1.13%;0.36%;0.10%;0.47%;0.06%;16.87%;100.00%;150;6.13485783;1.265493173;70.2355422;37.06624144;9.569394031;873.4747941
52.60%;7.32%;19.32%;2.30%;1.28%;0.34%;0.08%;0.43%;0.03%;16.27%;100.00%;150;6.383102464;6.343909819;109.9198012;33.40551553;10.29848428;890.295465
60.62%;6.89%;20.97%;2.92%;0.53%;0.32%;0.21%;0.42%;0.04%;7.08%;100.00%;150;6.555841206;6.772747565;109.7903261;38.49628519;11.3906972;808.3537404
62.16%;2.07%;12.30%;0.31%;1.25%;0.63%;0.20%;0.20%;0.15%;20.75%;100.00%;150;5.689170803;0.719066062;47.84330216;39.47461445;13.54532957;1036.182241
62.09%;7.98%;18.34%;1.42%;0.33%;0.74%;0.06%;0.56%;0.02%;8.47%;100.00%;150;3.399429908;8.186676844;109.4659996;39.43145414;12.95981236;970.7515569
59.06%;3.29%;20.28%;1.34%;1.22%;0.32%;0.12%;0.42%;0.10%;13.85%;100.00%;150;4.805120699;2.077463897;78.19865609;37.50770148;11.88358931;859.624015
55.77%;3.69%;15.30%;1.65%;0.76%;0.68%;0.10%;0.37%;0.10%;21.57%;100.00%;150;5.772056206;3.059309348;76.05554592;35.41918865;7.544208376;766.4424071
50.93%;4.84%;14.36%;2.26%;1.00%;0.83%;0.04%;0.14%;0.13%;25.45%;100.00%;150;6.152775202;4.003181135;78.30927089;32.34696761;8.620617855;857.3922068
54.46%;3.42%;13.19%;1.91%;0.33%;0.68%;0.07%;0.59%;0.13%;25.21%;100.00%;150;6.2943373;3.291341243;65.3904491;34.58805185;12.73663582;982.9894458
58.98%;7.65%;14.11%;2.19%;1.12%;0.45%;0.13%;0.14%;0.12%;15.11%;100.00%;150;6.716284562;6.889122506;101.8271166;37.45646707;9.140103844;923.6936212
58.18%;1.87%;23.53%;2.27%;1.34%;0.50%;0.11%;0.29%;0.13%;11.80%;100.00%;150;5.257917984;0.40886323;81.40158074;36.94836256;9.052998634;673.7668039
52.13%;7.47%;18.25%;2.42%;0.33%;0.30%;0.08%;0.09%;0.11%;18.82%;100.00%;150;6.620346108;7.641237283;105.9265675;33.106539;6.46783423;806.4072752
53.06%;6.55%;19.84%;2.17%;0.73%;0.48%;0.18%;0.57%;0.05%;16.35%;100.00%;150;6.199144389;6.176228492;105.680475;33.69755355;7.328322073;607.3866446
52.71%;3.68%;16.72%;1.63%;1.01%;0.36%;0.17%;0.16%;0.01%;23.56%;100.00%;150;6.221919735;2.742428921;74.17943425;33.4732199;8.148686294;664.058544
55.78%;1.98%;22.82%;1.38%;1.25%;0.38%;0.16%;0.33%;0.06%;15.87%;100.00%;150;5.768960023;0.629844625;74.60745536;35.42138414;10.76190215;664.7270567
49.58%;3.24%;18.85%;2.64%;1.08%;0.43%;0.07%;0.06%;0.13%;23.92%;100.00%;150;6.269583082;2.194997312;76.88412714;31.48612356;7.668538109;751.4821429
49.43%;6.40%;19.63%;1.68%;0.39%;0.33%;0.29%;0.20%;0.08%;21.59%;100.00%;150;6.270121662;6.419845911;100.0526465;31.38974723;6.476527663;539.227057
54.81%;6.82%;19.87%;0.77%;1.24%;0.48%;0.09%;0.41%;0.04%;15.46%;100.00%;150;6.737138763;5.851033949;101.7960643;34.80930425;7.083859337;726.1417415
62.96%;6.71%;16.55%;0.97%;0.92%;0.67%;0.24%;0.22%;0.06%;10.70%;100.00%;150;6.094976494;6.115080926;98.37670708;39.98540655;8.778343467;886.6233389
51.83%;2.98%;22.64%;2.96%;1.33%;0.60%;0.10%;0.38%;0.01%;17.17%;100.00%;150;5.707598303;1.611929405;85.72590802;32.91670104;9.272231288;840.4705334
58.07%;5.48%;16.82%;1.84%;0.50%;0.62%;0.02%;0.26%;0.10%;16.29%;100.00%;150;6.106571656;5.301850038;96.54631795;36.88125627;9.756517307;714.8605867
59.08%;3.00%;23.62%;0.95%;0.63%;0.39%;0.03%;0.45%;0.04%;11.82%;100.00%;150;6.059370191;2.473442366;85.20460617;37.51847074;13.17884813;877.6296063
57.61%;4.62%;14.78%;1.53%;0.31%;0.41%;0.01%;0.08%;0.09%;20.56%;100.00%;150;5.407523748;4.603566885;76.44861039;36.58759434;8.957000569;906.170938
57.16%;5.85%;15.14%;2.90%;1.09%;0.50%;0.15%;0.32%;0.12%;16.77%;100.00%;150;5.84116273;4.996402794;90.5275234;36.29992081;7.795029272;817.1522844
53.48%;3.61%;19.17%;1.87%;0.27%;0.30%;0.02%;0.11%;0.12%;21.05%;100.00%;150;6.01297809;3.564822005;78.97360928;33.96593706;9.948097293;887.7482626
59.51%;3.80%;16.86%;2.34%;0.81%;0.45%;0.22%;0.28%;0.09%;15.64%;100.00%;150;5.913049398;3.122976633;75.61536786;37.79337636;12.57926947;727.9737372
58.07%;5.93%;14.80%;0.65%;0.81%;0.38%;0.06%;0.11%;0.07%;19.13%;100.00%;150;6.537038092;5.404558784;83.56098164;36.87569562;11.17668054;870.7473235
60.55%;2.59%;19.50%;2.93%;0.36%;0.44%;0.24%;0.55%;0.13%;12.72%;100.00%;150;4.251605298;2.35733269;77.40503956;38.45360184;14.36352063;802.7512187
61.11%;7.58%;18.37%;2.91%;1.25%;0.56%;0.06%;0.20%;0.13%;7.84%;100.00%;150;6.605032794;6.657202314;108.9101662;38.80651928;9.124266406;865.6308191
57.33%;4.28%;22.83%;2.58%;0.63%;0.84%;0.29%;0.11%;0.10%;11.01%;100.00%;150;5.835343816;3.848392874;98.4498263;36.41111859;12.36154719;712.8830224
60.13%;6.71%;20.59%;2.68%;0.88%;0.73%;0.02%;0.38%;0.02%;7.85%;100.00%;150;4.020854691;6.173480264;107.934664;38.18848128;10.10085506;806.9989421
60.71%;4.73%;24.92%;0.27%;1.04%;0.37%;0.29%;0.17%;0.11%;7.38%;100.00%;150;1.904224029;3.836984601;97.42197867;38.55722896;13.98757087;811.2032482
52.36%;1.94%;22.55%;1.17%;0.49%;0.44%;0.08%;0.15%;0.10%;20.73%;100.00%;150;5.778178775;1.504486513;72.90985705;33.25195236;11.7097516;811.4244903
53.99%;5.67%;14.58%;0.88%;0.53%;0.54%;0.28%;0.58%;0.07%;22.89%;100.00%;150;6.307055471;5.467395353;81.65701294;34.28772018;7.801395289;676.2143278
58.09%;5.20%;23.32%;0.85%;0.37%;0.67%;0.22%;0.51%;0.02%;10.74%;100.00%;150;5.688045717;5.150146946;103.1445831;36.89227157;8.237798337;878.5423506
53.07%;2.40%;19.16%;1.31%;1.33%;0.87%;0.28%;0.22%;0.04%;21.31%;100.00%;150;5.316139645;0.991590314;73.31332447;33.70646421;9.556251567;903.3386945
49.63%;4.28%;23.82%;0.30%;1.15%;0.55%;0.28%;0.06%;0.14%;19.80%;100.00%;150;5.515049156;3.219188917;91.67063483;31.52005145;9.843796559;801.1645569
58.14%;5.66%;12.49%;2.19%;0.64%;0.32%;0.18%;0.32%;0.13%;19.93%;100.00%;150;6.43084531;5.323701698;81.0864353;36.92362544;12.05636264;830.0007703
51.69%;4.99%;20.89%;0.63%;1.22%;0.80%;0.02%;0.51%;0.13%;19.14%;100.00%;150;6.351238103;3.906411361;91.79364937;32.82643612;9.444947839;643.287519
50.78%;6.55%;21.11%;0.94%;1.28%;0.83%;0.04%;0.15%;0.12%;18.20%;100.00%;150;6.515317413;5.510731914;107.0433949;32.24966198;6.238237525;757.1204676
49.28%;3.41%;17.72%;1.73%;0.64%;0.73%;0.16%;0.31%;0.03%;25.99%;100.00%;150;5.638577648;2.895589037;74.61134727;31.29689315;8.240726033;682.3226949
50.67%;1.64%;12.77%;2.04%;1.44%;0.43%;0.11%;0.06%;0.08%;30.77%;100.00%;150;5.713271728;0.034687822;52.78254887;32.17616985;11.55948814;632.4771499
53.14%;5.31%;24.39%;1.84%;0.51%;0.75%;0.03%;0.48%;0.05%;13.50%;100.00%;150;5.943899347;5.103228169;105.8033641;33.74891287;7.509299811;748.6623388
49.70%;6.67%;22.18%;0.48%;0.99%;0.45%;0.07%;0.25%;0.07%;19.16%;100.00%;150;6.641527974;5.997957764;105.6925284;31.56031977;7.58171057;685.8150177
56.63%;1.66%;22.76%;0.61%;1.21%;0.34%;0.11%;0.14%;0.01%;16.52%;100.00%;150;5.836831441;0.329115605;69.53181469;35.96436288;11.02841556;915.6350723
61.66%;6.92%;19.96%;1.67%;0.60%;0.26%;0.14%;0.17%;0.13%;8.50%;100.00%;150;6.067614494;6.729612554;104.1128539;39.16017486;11.1052037;1052.972568
52.13%;4.28%;12.60%;2.83%;1.14%;0.90%;0.20%;0.40%;0.04%;25.48%;100.00%;150;6.000700611;3.238299088;71.37367204;33.10864743;8.619010983;885.7212494
49.40%;6.61%;18.90%;0.76%;1.18%;0.87%;0.15%;0.34%;0.08%;21.71%;100.00%;150;6.383280867;5.694876678;98.9005064;31.37362174;8.36351956;712.3802952
50.97%;5.13%;21.90%;0.87%;0.62%;0.67%;0.07%;0.15%;0.11%;19.50%;100.00%;150;5.913327678;4.773411793;96.06889439;32.37261699;11.41181267;669.5635016
51.45%;2.03%;14.42%;1.17%;1.13%;0.65%;0.18%;0.38%;0.14%;28.46%;100.00%;150;5.939969138;0.834943761;55.18180229;32.67429245;12.15115986;820.5054953
50.82%;2.16%;16.52%;1.79%;1.20%;0.65%;0.30%;0.31%;0.10%;26.15%;100.00%;150;5.291551165;0.893717819;62.514718;32.27316129;9.315296351;674.8474427
60.20%;1.76%;19.35%;0.77%;1.37%;0.57%;0.11%;0.53%;0.02%;15.32%;100.00%;150;5.898615132;0.247643443;68.0631385;38.23192927;8.402244421;675.1333954
62.58%;7.41%;21.04%;2.89%;1.48%;0.52%;0.27%;0.37%;0.11%;3.35%;100.00%;150;4.773879132;6.202110598;119.5387268;39.74065484;11.46001452;1026.982268
57.56%;2.95%;23.86%;0.83%;0.75%;0.26%;0.10%;0.57%;0.11%;13.01%;100.00%;150;6.170444216;2.274901772;84.01265874;36.5566985;8.891011338;802.0376628
56.82%;4.58%;21.85%;0.94%;0.79%;0.81%;0.28%;0.13%;0.11%;13.68%;100.00%;150;5.903341729;3.983614969;90.92543137;36.08301775;11.8739939;1004.707528
54.11%;1.84%;23.72%;1.79%;0.45%;0.30%;0.27%;0.44%;0.09%;16.99%;100.00%;150;5.241739047;1.4404733;77.73797062;34.36623923;8.709904905;692.9743926
53.67%;5.87%;16.55%;2.10%;0.64%;0.59%;0.24%;0.49%;0.14%;19.72%;100.00%;150;6.174525201;5.547059458;92.08691217;34.08271063;10.25956667;814.4649946
61.76%;5.83%;12.79%;2.55%;1.26%;0.55%;0.18%;0.56%;0.12%;14.40%;100.00%;150;3.758423977;4.761495654;88.90616251;39.22041456;9.913063757;727.3371719
62.22%;6.31%;14.50%;2.33%;1.48%;0.58%;0.19%;0.42%;0.12%;11.85%;100.00%;150;6.415884198;5.015933427;89.77173528;39.51531808;9.629652552;895.6201873
55.88%;1.65%;17.75%;0.47%;1.09%;0.79%;0.11%;0.55%;0.14%;21.57%;100.00%;150;5.897038766;0.466837613;65.38561306;35.48777121;8.645561434;776.5948974
51.45%;4.85%;14.74%;1.38%;1.06%;0.48%;0.06%;0.23%;0.09%;25.65%;100.00%;150;5.84973888;3.945965181;80.7549387;32.67288431;7.950931318;749.0512465
53.01%;3.27%;19.07%;2.94%;0.41%;0.77%;0.08%;0.33%;0.12%;20.01%;100.00%;150;5.907665786;3.032747841;79.79362101;33.66289509;12.46804612;688.5904624
50.59%;7.49%;13.06%;1.05%;0.60%;0.51%;0.01%;0.49%;0.03%;26.17%;100.00%;150;6.239924814;7.33065299;92.48934759;32.12919015;6.588251107;635.0257561
51.96%;3.80%;18.26%;1.26%;0.35%;0.42%;0.16%;0.27%;0.13%;23.38%;100.00%;150;6.045063531;3.662978348;76.9942036;32.99637462;12.14450525;788.2902305
57.09%;6.00%;12.38%;1.38%;1.21%;0.33%;0.30%;0.07%;0.09%;21.15%;100.00%;150;6.260278023;4.999459171;78.65769566;36.25353162;11.97505428;985.3307141
62.50%;7.09%;17.37%;2.92%;1.29%;0.31%;0.16%;0.33%;0.12%;7.91%;100.00%;150;5.083354535;6.0862086;110.1807515;39.69357294;12.3348772;903.6973516
59.95%;3.90%;23.35%;0.27%;0.70%;0.91%;0.09%;0.29%;0.09%;10.46%;100.00%;150;6.295383085;3.356855586;88.42157846;38.07538327;13.95409483;908.831539
53.52%;2.47%;14.67%;1.27%;0.32%;0.85%;0.13%;0.46%;0.04%;26.27%;100.00%;150;6.039530103;2.269683448;59.80857755;33.99011016;7.668174179;838.3228585
52.72%;4.93%;16.20%;1.98%;0.65%;0.49%;0.04%;0.47%;0.12%;22.40%;100.00%;150;6.384809935;4.5234525;82.56038678;33.48079812;11.40556309;896.3958629
58.66%;6.03%;16.70%;0.92%;0.45%;0.37%;0.17%;0.08%;0.13%;16.50%;100.00%;150;6.537930715;5.959572016;88.43477562;37.25122283;10.05676349;994.6589938
49.81%;3.21%;18.88%;1.68%;1.34%;0.77%;0.11%;0.17%;0.09%;23.93%;100.00%;150;6.0824311;1.850949901;76.15275213;31.63159181;10.34237812;821.8703316
61.47%;6.16%;14.46%;2.61%;1.22%;0.71%;0.20%;0.35%;0.10%;12.72%;100.00%;150;6.328801112;5.165801305;90.14437324;39.03768166;13.31157681;969.7509023
50.46%;7.53%;23.37%;0.84%;0.68%;0.54%;0.27%;0.51%;0.13%;15.67%;100.00%;150;6.494517713;7.287360534;116.7387614;32.04315722;10.55909867;713.8689859
52.10%;1.54%;14.90%;2.44%;1.01%;0.28%;0.25%;0.10%;0.09%;27.30%;100.00%;150;5.591606222;0.454770159;54.94688032;33.08659033;12.42693396;833.8823088
62.12%;2.23%;12.36%;1.34%;1.03%;0.84%;0.15%;0.06%;0.04%;19.85%;100.00%;150;4.743930306;1.163156901;51.46100872;39.44916191;9.119459827;709.4374289
59.42%;1.95%;23.68%;2.82%;0.79%;0.62%;0.02%;0.59%;0.03%;10.08%;100.00%;150;3.769513503;1.144146589;81.63770189;37.73295875;12.30948399;750.2169828
57.37%;7.21%;15.02%;0.31%;1.23%;0.29%;0.23%;0.31%;0.07%;17.96%;100.00%;150;6.52490187;6.280588461;91.3789421;36.43386841;7.321492353;704.0048129
60.68%;4.51%;18.13%;2.17%;0.80%;0.50%;0.23%;0.56%;0.10%;12.31%;100.00%;150;5.976574233;3.890328164;86.85115192;38.53485389;11.23121803;939.0812317
60.32%;3.12%;23.21%;2.06%;0.32%;0.56%;0.19%;0.23%;0.05%;9.95%;100.00%;150;6.064615161;2.975734462;85.55379388;38.30639045;11.13088474;1025.716044
62.69%;4.22%;14.48%;1.70%;1.18%;0.82%;0.29%;0.23%;0.06%;14.33%;100.00%;150;0.405885383;3.126174116;72.53188576;39.81351482;10.83218211;944.3268008
54.50%;7.60%;14.73%;0.55%;1.44%;0.73%;0.21%;0.28%;0.02%;19.93%;100.00%;150;5.991432903;6.446045762;99.19846319;34.61446587;10.22066663;827.2318256
60.46%;6.01%;21.38%;1.94%;0.50%;0.31%;0.05%;0.43%;0.03%;8.88%;100.00%;150;6.182639994;5.872559902;108.1265404;38.39706419;10.51187644;814.368168
62.31%;3.70%;19.04%;1.00%;1.18%;0.42%;0.04%;0.57%;0.02%;11.72%;100.00%;150;3.079082822;2.56004259;77.8340334;39.57318816;11.00427748;1021.707417
55.35%;5.95%;22.58%;2.71%;0.80%;0.85%;0.29%;0.28%;0.05%;11.15%;100.00%;150;6.019597817;5.447304983;108.5976378;35.15105497;10.51121516;939.6372483
59.87%;6.38%;17.04%;0.91%;0.35%;0.45%;0.18%;0.22%;0.02%;14.58%;100.00%;150;6.380599719;6.441921588;94.80475273;38.02431163;10.51402919;802.4751468
62.73%;6.59%;14.98%;1.00%;0.47%;0.78%;0.21%;0.48%;0.06%;12.71%;100.00%;150;6.222518014;6.524372312;92.78483789;39.84073511;9.724386301;701.8307133
49.47%;7.17%;13.19%;2.08%;1.41%;0.32%;0.25%;0.20%;0.12%;25.77%;100.00%;150;6.394345405;6.019478198;94.02904426;31.41946205;7.191400566;533.5744832
53.16%;7.92%;23.78%;0.58%;1.20%;0.55%;0.08%;0.14%;0.10%;12.49%;100.00%;150;6.268846994;7.085730886;120.3924722;33.76099942;6.986763355;741.7568244
51.46%;4.96%;19.92%;1.28%;1.21%;0.56%;0.28%;0.19%;0.12%;20.01%;100.00%;150;5.532331727;3.884619533;94.37076077;32.68002722;8.255213666;749.0934545
51.00%;6.46%;17.06%;2.97%;1.42%;0.43%;0.13%;0.33%;0.13%;20.06%;100.00%;150;6.528514179;5.242330616;98.18238396;32.39026797;6.581419014;685.6835544
57.64%;5.86%;19.18%;0.85%;1.46%;0.53%;0.06%;0.60%;0.14%;13.68%;100.00%;150;6.495746821;4.551250482;93.82011313;36.60673675;8.689392203;809.4446842
54.61%;2.48%;18.44%;1.95%;1.45%;0.41%;0.05%;0.10%;0.08%;20.42%;100.00%;150;5.783384707;0.924189497;68.56973689;34.68391527;12.15532779;967.6212824
58.21%;5.26%;18.33%;0.76%;0.88%;0.40%;0.07%;0.24%;0.07%;15.77%;100.00%;150;6.197433327;4.601112713;89.01200357;36.96708857;11.97285545;877.8320402
57.99%;2.30%;15.11%;0.67%;1.27%;0.29%;0.11%;0.31%;0.06%;21.91%;100.00%;150;5.848037551;0.949013403;56.40906061;36.82754626;8.551839501;644.4191678
58.13%;3.97%;18.24%;2.34%;1.33%;0.69%;0.06%;0.30%;0.13%;14.80%;100.00%;150;3.984374395;2.679895395;82.27993788;36.91450659;10.04564117;736.0164645
61.92%;2.80%;12.03%;1.99%;1.28%;0.55%;0.20%;0.47%;0.08%;18.69%;100.00%;150;6.110333207;1.478768787;57.03791048;39.32204682;14.5990746;1087.906363
55.04%;6.48%;23.66%;1.73%;0.49%;0.53%;0.12%;0.09%;0.14%;11.71%;100.00%;150;6.55396805;6.381298836;111.1840501;34.95720835;7.654773212;739.9850645
60.64%;3.47%;24.43%;2.25%;0.75%;0.82%;0.24%;0.10%;0.02%;7.28%;100.00%;150;5.850715663;2.831237247;94.81258836;38.5093105;11.97982282;860.8156032
62.71%;7.86%;17.81%;0.47%;1.21%;0.86%;0.03%;0.16%;0.09%;8.81%;100.00%;150;6.937108217;7.014340871;104.661507;39.82286458;12.34993205;1097.753387
